province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,doy,et0_penman_monteith,et0_hargreaves
Chau Doc,27,21,22,NNE,0.1,80,49,1012,2009-01-02,2,21.496074542224864,2.9648345756183283
Chau Doc,30,24,7,E,0.0,62,39,1010,2010-01-02,2,16.513555047262656,3.1776217461172513
Chau Doc,32,21,5,NE,0.0,70,14,1009,2011-01-02,2,11.501352943465454,4.254500985000848
Chau Doc,31,23,7,E,4.9,79,45,1012,2012-01-02,2,10.523818883067307,3.669201541007208
Chau Doc,32,22,9,SW,0.0,67,12,1011,2013-01-02,2,18.54216199337664,4.102292034419549
Chau Doc,31,22,6,SSE,0.0,65,20,1012,2014-01-02,2,14.332584613108924,3.8483409374850766
Chau Doc,29,18,14,ENE,0.0,62,27,1013,2015-01-02,2,30.19999013598332,3.9663857941430023
Chau Doc,33,23,10,ESE,0.0,60,15,1014,2016-01-02,2,23.543493716929962,4.193861053044986
Chau Doc,32,23,12,NE,6.7,75,37,1011,2017-01-02,2,17.7132205993787,3.935210936073904
Chau Doc,32,22,7,NNE,0.0,64,7,1009,2018-01-02,2,16.558507959331525,4.102292034419549
Chau Doc,26,23,21,NNE,9.5,75,67,1013,2019-01-02,2,24.98316686298553,2.1215318420509406
Chau Doc,33,23,9,ENE,0.0,61,18,1014,2020-01-02,2,21.274359425473335,4.193861053044986
Chau Doc,27,21,15,E,0.0,67,44,1011,2021-01-02,2,26.42696607669241,2.9648345756183283
Chau Doc,27,21,18,NNE,0.0,76,55,1012,2009-01-03,3,22.3315914240231,2.9684677153693793
Chau Doc,34,26,10,ESE,0.0,65,37,1010,2010-01-03,3,20.204854261761767,3.9197043699259786
Chau Doc,32,22,6,ESE,0.1,65,36,1009,2011-01-03,3,14.459590022918741,4.107319026611031
Chau Doc,32,23,6,ESE,2.7,78,34,1012,2012-01-03,3,10.008386995247212,3.94003318531445
Chau Doc,32,23,11,E,0.0,64,20,1011,2013-01-03,3,22.8443044350664,3.94003318531445
Chau Doc,33,22,5,ENE,0.0,66,22,1012,2014-01-03,3,12.575482562103705,4.355870579078952
Chau Doc,31,21,16,S,0.0,62,22,1012,2015-01-03,3,32.19402150074641,4.015637798338465
Chau Doc,33,25,9,SE,0.4,63,47,1014,2016-01-03,3,19.74804779407623,3.8377021864547234
Chau Doc,31,23,10,ENE,0.1,75,47,1010,2017-01-03,3,15.432166243554237,3.6736978195122143
Chau Doc,32,22,8,S,0.0,65,13,1009,2018-01-03,3,17.855801470649848,4.107319026611031
Chau Doc,29,22,19,NE,14.2,80,72,1013,2019-01-03,3,19.630954607470276,3.3213706174694946
Chau Doc,32,24,7,S,0.0,66,31,1013,2020-01-03,3,15.32967214881348,3.7557000029834686
Chau Doc,28,21,10,SSW,0.0,74,39,1011,2021-01-03,3,16.03662325786632,3.2446645985902913
Chau Doc,29,21,13,NNE,0.0,71,40,1012,2009-01-04,4,21.45421856605205,3.5142769651136425
Chau Doc,35,24,11,ESE,0.0,62,55,1009,2010-01-04,4,24.14866725642335,4.554122481959578
Chau Doc,33,23,7,SE,1.4,71,58,1009,2011-01-04,4,13.841463775488306,4.204483973219789
Chau Doc,31,23,6,ESE,0.1,74,24,1013,2012-01-04,4,11.163740444360993,3.6784955148853085
Chau Doc,32,23,12,SE,0.0,65,14,1009,2013-01-04,4,23.737148558396793,3.945178703512115
Chau Doc,33,23,5,SSE,0.5,68,31,1011,2014-01-04,4,11.81112626084513,4.204483973219789
Chau Doc,33,21,9,SE,2.1,65,27,1011,2015-01-04,4,19.980339805624098,4.505218516292744
Chau Doc,31,25,10,ESE,0.4,70,57,1012,2016-01-04,4,17.507425501419746,3.256779281535246
Chau Doc,31,22,8,ESE,4.7,75,54,1010,2017-01-04,4,13.424665091988127,3.8580886659069913
Chau Doc,33,24,10,SSW,0.0,64,33,1008,2018-01-04,4,21.108676058411383,4.032268741117239
Chau Doc,29,23,18,E,14.3,82,45,1013,2019-01-04,4,17.027974288798635,3.1145618456603446
Chau Doc,33,23,6,SW,0.0,65,17,1012,2020-01-04,4,14.396279118338825,4.204483973219789
Chau Doc,32,23,10,SE,0.0,67,42,1010,2021-01-04,4,19.727410179074244,3.945178703512115
Chau Doc,25,20,17,SE,10.4,89,87,1011,2009-01-01,1,10.724587580287361,2.6064068974975627
Chau Doc,34,25,5,SE,0.0,59,24,1010,2010-01-01,1,13.913469163391103,4.104257149755422
Chau Doc,31,21,9,E,0.0,64,14,1008,2011-01-01,1,20.09013527292478,4.0061414411282374
Chau Doc,32,23,7,ENE,12.5,76,46,1012,2012-01-01,1,11.810538907854752,3.9307156212245373
Chau Doc,31,21,12,SW,0.0,68,11,1010,2013-01-01,1,22.394634954044246,4.0061414411282374
Chau Doc,29,20,12,SE,0.0,64,26,1013,2014-01-01,1,24.96178680022158,3.67040332842821
Chau Doc,30,21,13,SE,0.0,65,27,1013,2015-01-01,1,25.576122132405406,3.7571740926936523
Chau Doc,33,22,14,ENE,0.0,57,12,1015,2016-01-01,1,32.763972240823364,4.345569624396842
Chau Doc,31,22,14,NNE,2.1,78,29,1011,2017-01-01,1,17.727770190135086,3.8439448569590953
Chau Doc,30,22,9,ESE,0.0,66,24,1010,2018-01-01,1,18.710817277023857,3.5832018359366837
Chau Doc,29,22,21,ESE,0.0,64,25,1014,2019-01-01,1,36.15982658306243,3.313516093880715
Chau Doc,34,23,10,ESE,0.0,58,9,1014,2020-01-01,1,24.74941539862182,4.441498313677125
Chau Doc,28,20,19,ENE,0.0,64,35,1011,2021-01-01,1,34.361320810873174,3.4195853137477936
Chau Doc,28,21,21,NNE,0.0,58,8,1015,2009-01-09,9,42.18923463380767,3.2739612336903474
Chau Doc,34,25,6,E,0.0,59,40,1011,2010-01-09,9,15.987629290942433,4.151131973751111
Chau Doc,32,21,9,NNE,0.0,62,7,1009,2011-01-09,9,21.25885992700821,4.298176190976522
Chau Doc,31,21,10,E,0.6,64,47,1012,2012-01-09,9,21.802594235380973,4.051895683151282
Chau Doc,32,24,12,SE,1.6,74,65,1010,2013-01-09,9,18.073618583574913,3.789610864704119
Chau Doc,33,22,6,ESE,2.8,64,33,1011,2014-01-09,9,14.988191538839832,4.395200484226557
Chau Doc,32,23,5,E,0.2,70,22,1012,2015-01-09,9,11.139109674656737,3.97560842306396
Chau Doc,33,24,11,SE,0.0,69,29,1013,2016-01-09,9,19.97064097357758,4.063370198407536
Chau Doc,32,24,11,ESE,0.0,75,16,1008,2017-01-09,9,16.424786516552363,3.789610864704119
Chau Doc,31,24,7,SE,10.9,81,37,1011,2018-01-09,9,9.601733131019188,3.506157065866968
Chau Doc,32,23,7,E,0.0,71,32,1013,2019-01-09,9,13.73150571529907,3.97560842306396
Chau Doc,34,24,7,SSW,0.0,63,26,1010,2020-01-09,9,16.75819464326861,4.329422784736986
Chau Doc,31,22,12,NNE,0.0,63,10,1010,2021-01-09,9,25.160708688824514,3.8878466477203855
Chau Doc,31,22,12,NNE,0.0,68,14,1011,2009-01-06,6,22.104241869368888,3.8690852774140336
Chau Doc,31,22,13,ESE,0.1,68,15,1013,2009-01-07,7,23.445457458733927,3.8750414887107794
Chau Doc,34,24,13,ESE,0.0,58,15,1012,2010-01-07,7,29.73100140688023,4.3151632338334345
Chau Doc,32,22,10,NNE,0.0,64,33,1011,2011-01-07,7,21.6154429483889,4.130754548626878
Chau Doc,31,23,10,ESE,0.7,69,42,1012,2012-01-07,7,18.57083394572974,3.694659187638464
Chau Doc,28,22,14,SE,0.6,80,54,1010,2013-01-07,7,15.887920204057641,3.0568263614802857
Chau Doc,34,24,11,ESE,2.5,65,29,1010,2010-01-06,6,22.318872302160322,4.308530524461022
Chau Doc,33,23,13,NE,0.1,69,34,1010,2011-01-06,6,22.791529780801525,4.216467906416984
Chau Doc,32,23,9,SE,0.0,68,15,1013,2012-01-06,6,17.82410261180751,3.956423545527217
Chau Doc,25,23,13,S,7.6,76,77,1009,2013-01-06,6,17.062564908021226,1.7209751550324635
Chau Doc,33,23,6,SE,0.0,68,32,1010,2014-01-06,6,13.421153166542833,4.216467906416984
Chau Doc,32,24,4,SE,9.1,76,37,1010,2015-01-06,6,8.0664412725931,3.7713235454778387
Chau Doc,33,25,12,SE,2.3,69,40,1013,2016-01-06,6,20.961688060510117,3.8536668543310664
Chau Doc,31,23,10,E,5.2,77,56,1008,2017-01-06,6,14.395317754717041,3.688980236624611
Chau Doc,31,24,10,SE,3.0,83,38,1009,2018-01-06,6,11.097779982851112,3.4892375942351506
Chau Doc,31,24,8,E,1.1,76,39,1013,2019-01-06,6,12.578419591328851,3.4892375942351506
Chau Doc,33,23,9,SSW,0.0,60,10,1012,2020-01-06,6,21.738560589986385,4.216467906416984
Chau Doc,31,23,10,ESE,0.0,73,34,1010,2021-01-06,6,16.47860699467764,3.688980236624611
Chau Doc,33,23,6,SSE,0.0,62,21,1011,2014-01-07,7,15.37436303615251,4.2229588912301566
Chau Doc,32,24,6,SE,10.4,77,32,1010,2015-01-07,7,10.147449879104801,3.777129258791108
Chau Doc,33,24,11,SE,0.2,69,42,1014,2016-01-07,7,19.970961453479646,4.049986928381694
Chau Doc,30,23,12,ESE,0.9,78,38,1008,2017-01-07,7,15.56966153427625,3.4174653663954087
Chau Doc,31,24,9,SE,4.4,82,42,1010,2018-01-07,7,10.84146927495006,3.494609054124425
Chau Doc,33,24,10,ESE,0.0,71,7,1012,2019-01-07,7,17.596246011166556,4.049986928381694
Chau Doc,33,24,5,SW,0.0,65,28,1011,2020-01-07,7,12.422012593708732,4.049986928381694
Chau Doc,31,24,6,SE,0.0,71,38,1009,2021-01-07,7,11.915164359066837,3.494609054124425
Chau Doc,30,21,14,NNE,0.0,69,9,1011,2009-01-05,5,24.158494182669543,3.776222207625055
Chau Doc,35,25,11,ESE,0.0,59,26,1009,2010-01-05,5,25.45540515225312,4.39416426074528
Chau Doc,32,24,7,ENE,1.7,76,61,1009,2011-01-05,5,11.600262341061143,3.7658139715711827
Chau Doc,33,23,5,NE,0.0,69,10,1013,2012-01-05,5,11.554444455546314,4.210308015525813
Chau Doc,30,21,14,NE,0.0,64,26,1009,2013-01-05,5,27.64189359837487,3.776222207625055
Chau Doc,33,23,6,S,0.0,66,23,1010,2014-01-05,5,14.063118920256422,4.210308015525813
Chau Doc,33,24,6,SW,3.2,71,54,1010,2015-01-05,5,12.22850903783407,4.037854231248039
Chau Doc,33,26,8,SE,1.8,63,69,1012,2016-01-05,5,17.786588881752774,3.637965294239289
Chau Doc,31,24,9,E,2.7,79,27,1009,2017-01-05,5,12.229211099849405,3.4841401232355134
Chau Doc,30,25,7,SSW,15.4,76,46,1009,2018-01-05,5,11.056691022557636,2.944635849222832
Chau Doc,31,24,16,ESE,0.1,79,18,1013,2019-01-05,5,18.14580385887438,3.4841401232355134
Chau Doc,34,23,7,S,0.0,67,6,1012,2020-01-05,5,15.530703973126316,4.464015814399563
Chau Doc,26,23,11,SE,6.3,79,78,1011,2021-01-05,5,13.528572146839444,2.1298518016697163
Chau Doc,30,21,16,NNE,0.0,60,10,1014,2009-01-08,8,33.62426255321752,3.79368297485339
Chau Doc,27,19,20,ESE,0.0,61,14,1015,2009-01-10,10,38.785471349259744,3.381836310662341
Chau Doc,33,25,8,SSE,0.6,64,39,1011,2010-01-10,10,17.659335863967552,3.879165179877391
Chau Doc,31,20,15,NNE,0.0,57,6,1009,2011-01-10,10,34.90963047325773,4.208541995291507
